CA,274492,32.6281,-117.0145
OR,273439,44.0563,-123.1173
OH,269418,40.8075,-81.3677
TX,267648,33.5659,-101.8878
PA,267155,40.3400,-75.9267
FL,267069,28.0118,-81.7017
OR,266804,44.9231,-123.0246
FL,265351,27.7931,-82.6652
LA,264357,30.2084,-92.0323
TX,262491,27.5629,-99.4875
NJ,262075,40.7161,-74.0682
NC,261801,35.3933,-80.6366
GA,261445,32.5100,-84.8771
AZ,261165,33.2826,-111.8516
TX,258277,33.2015,-96.6669
AZ,258069,33.6872,-111.8651
TX,258009,31.0754,-97.7296
FL,257601,30.4551,-84.2526
IL,256286,40.7520,-89.6153
NC,255616,34.2100,-77.8866
AL,254634,32.3473,-86.2666
AZ,254114,33.3101,-111.7463
AZ,252381,33.5791,-112.2311
NV,251974,36.2880,-115.0901
VA,244835,36.6778,-76.3024
MA,242847,41.6722,-70.3599
VA,242742,36.8945,-76.2590
CA,241110,37.5265,-121.9852
WA,240735,46.1978,-119.1732
TX,239928,32.9100,-96.6305
TX,239798,32.8584,-96.9702
CA,237386,36.3276,-119.3269
NJ,237054,39.3797,-74.4527
NV,235087,36.0807,-115.1369
NH,233917,42.7491,-71.4910
VA,233464,38.8786,-77.1011
FL,233339,25.8696,-80.3046
PA,233184,39.9651,-76.7315
IN,230427,37.9881,-87.5341
AZ,227289,33.3858,-112.3236
TX,227239,25.9980,-97.4565
MS,220987,30.4271,-89.0703
WI,220570,44.2779,-88.3891
WA,218400,47.5436,-122.7122
NC,218323,35.7425,-81.3230
WA,217827,47.2431,-122.4531
CA,215784,34.1417,-117.2946
TX,215243,30.5852,-96.2960
MI,215193,42.2749,-85.5882
CA,215029,34.1914,-118.8755
VA,214674,37.2785,-79.9580
CA,214547,34.0968,-117.4599
CA,213055,33.9244,-117.2045
FL,209070,27.0577,-82.1975
ND,208675,46.8652,-96.8292
WI,207557,44.5150,-87.9896
NV,207127,36.0987,-115.2619
TX,205603,35.1988,-101.8311
ME,203969,43.6773,-70.2715
CA,202401,34.4285,-119.7202
FL,202335,29.6804,-82.3458
WA,200915,47.0417,-122.8959
TX,200490,33.1555,-96.8215
NY,200370,40.9466,-73.8674
CT,200289,41.5495,-72.0882
CA,199303,34.1818,-118.2468
CA,199223,33.6960,-118.0025
FL,198361,28.9050,-81.2137
IL,197757,41.7637,-88.2901
AZ,195805,33.3881,-111.9318
KS,195494,38.8870,-94.6870
TX,194543,32.6872,-97.0209
NV,193781,36.1785,-115.0490
TX,192315,31.5598,-97.1881
CA,190972,36.6884,-121.6317
CT,189614,41.5583,-73.0361
TN,188746,36.5695,-87.3420
IA,188038,41.9665,-91.6782
SD,187239,43.5397,-96.7320
WV,186034,38.4109,-82.4344
CA,185010,34.0393,-117.6064
MD,184755,39.6401,-77.7217
PA,184484,42.1168,-80.0733
WA,184463,45.6366,-122.5967
ID,184428,43.5845,-116.5631
SC,182701,34.9437,-81.9257
NC,182581,35.2494,-81.1853
FL,182437,26.1412,-80.1464
OH,180279,41.4409,-82.1840
TN,179951,35.8492,-86.4119
NC,179913,35.9907,-79.9938
VA,179225,37.1051,-76.5185
CA,177603,34.1248,-117.5666
CA,177253,33.7341,-116.9969
CA,176428,36.9789,-122.0346
CT,176030,41.4016,-73.4710
AZ,175961,33.7844,-112.2989
CA,175742,33.2247,-117.3083
CA,174775,38.4160,-121.3842
FL,173591,26.0128,-80.3382
CA,173256,38.1133,-122.2358
CA,171644,33.7787,-117.9601
NV,171108,36.0164,-115.2208
OR,170876,42.3372,-122.8537
NC,170282,35.7820,-78.8191
WA,170009,48.0809,-122.1561
CA,169868,33.8616,-117.5649
FL,169383,29.1780,-82.1511
VA,168909,38.2992,-77.4872
GA,167371,34.2903,-83.8301
NH,162877,42.9848,-71.4447
PR,161034,18.3793,-66.1635
IL,159443,40.1144,-88.2735
VA,159428,38.8185,-77.0861
CA,159203,37.6328,-122.0772
IL,158509,39.7710,-89.6538
CO,157935,39.6977,-105.1168
IN,157820,40.3990,-86.8594
MD,156787,39.4336,-77.4141
LA,156181,30.2012,-93.2122
TX,155998,31.8831,-102.3406
AL,155499,33.2348,-87.5267
GA,155140,32.5970,-83.6529
CA,155079,34.5944,-118.1057
FL,154817,26.0294,-80.1679
TX,154793,32.0249,-102.1137
FL,154574,28.7657,-81.8996
TX,154468,29.8554,-93.9264
MI,153565,43.2281,-86.2563
GA,153159,32.8065,-83.6974
KS,152960,39.1234,-94.7443
CA,152703,37.3836,-122.0256
CA,151691,34.0585,-117.7626
CA,151625,33.1347,-117.0722
TX,151227,29.6583,-95.1499
MA,149910,41.6697,-70.9428
CA,148683,38.2592,-122.0324
IL,148449,41.7483,-88.1657
WA,148164,47.5951,-122.1535
NY,148145,42.1014,-75.9093
IN,147567,41.6916,-85.9628
KS,147458,39.0346,-95.6955
IL,147344,41.5189,-88.1499
TX,146091,30.0849,-94.1451
NJ,145233,40.9147,-74.1624
CA,145149,37.3057,-120.4778
CO,143932,38.2705,-104.6112
TX,143796,32.3184,-95.3062
CA,143592,33.8346,-118.3417
AZ,142847,32.5992,-114.5488
LA,142135,29.9977,-90.1780
AZ,141664,33.6800,-112.4524
MO,141645,38.9478,-92.3256
GA,141532,33.9508,-83.3689
CA,141500,38.7703,-121.3196
CO,141464,39.9197,-104.9438
FL,141191,25.9773,-80.3351
CA,141029,34.1597,-118.1390
TX,140937,32.7623,-96.5889
KS,140545,38.8832,-94.8198
CA,140545,34.9334,-120.4432
LA,140469,29.5799,-90.7058
TX,139248,32.9890,-96.8999
CO,139143,39.0876,-108.5673
WV,138706,38.3484,-81.6323
CA,138669,33.8038,-117.8218
CA,138632,33.8841,-117.9279
CO,137810,40.4151,-104.7706
PR,136771,18.4054,-65.9792
NM,136254,32.3265,-106.7892
FL,136133,30.1995,-85.6004
TX,136037,26.1917,-97.6976
UT,135248,40.6889,-112.0115
VA,134510,37.0551,-76.3630
MI,133943,42.4934,-83.0270
SC,133872,34.7849,-82.3005
IL,133846,40.4757,-88.9703
FL,133759,26.2702,-80.2591
TX,133372,30.5254,-97.6660
WA,133191,46.5923,-120.5496
MI,132438,42.5809,-83.0305
WA,132319,47.3887,-122.2129
NC,131043,36.0758,-79.4686
WA,130641,48.7543,-122.4687
CA,130365,37.3645,-121.9680
WI,130142,42.7274,-87.8135
NC,130118,35.5956,-77.3768
CT,129638,41.1035,-73.5583
NJ,129216,40.6657,-74.1912
TN,127571,36.3406,-82.3803
VA,126814,37.4003,-79.1909
CA,126589,34.2663,-118.7490
AR,125354,35.3493,-94.3695
WI,124972,42.5864,-87.8765
OK,124880,35.2335,-97.3471
MI,124694,42.4614,-83.6526
CO,124345,40.0249,-105.2523
TX,123420,32.4543,-99.7384
FL,123378,26.6120,-81.6388
TX,122460,29.5585,-95.3215
CA,121363,37.8723,-122.2760
TX,121323,32.9717,-96.7093
CA,121313,40.5698,-122.3650
CO,121272,39.8321,-105.1511
CA,121187,34.0326,-118.1691
UT,120899,37.0770,-113.5770
MT,120728,45.7891,-108.5524
CA,120456,39.1357,-121.6381
MN,119942,44.0151,-92.4778
MA,119690,42.5209,-71.7717
TN,119666,36.5224,-82.5453
MN,119476,46.7756,-92.1392
SC,119105,34.9416,-81.0244
CA,118993,37.0047,-121.5855
MA,118927,42.3759,-71.1185
TX,118488,29.5935,-95.6357
TX,118169,29.4128,-94.9658
IA,118041,41.6559,-91.5303
MI,117958,43.4199,-83.9501
CA,117668,39.7575,-121.8152
DE,117282,39.1610,-75.5203
FL,116946,27.9789,-82.7622
ID,116834,47.7041,-116.7935
CA,116720,36.6224,-121.8191
MO,116672,39.0871,-94.3501
UT,116480,40.6024,-112.0008
FL,115911,27.9367,-82.3000
IN,115884,39.1637,-86.5257
CA,115487,34.0739,-118.0291
SC,115382,32.9066,-80.0722
CA,115382,33.1247,-117.2837
MN,115028,45.5339,-94.1718
CA,114761,33.4928,-117.1315
CA,114584,36.8278,-119.6831
ID,114161,43.6112,-116.3968
TX,113819,30.1738,-95.5134
PR,113401,18.0120,-66.6198
CO,113166,39.8837,-105.0624
CA,113003,33.6667,-117.9135
LA,112891,32.5183,-92.0774
NY,112650,43.0961,-75.2260
FL,112118,26.2428,-80.1312
FL,111955,26.7468,-80.1316
IA,111631,42.4920,-92.3522
WA,111475,47.9525,-122.1669
CA,111425,32.7867,-115.5586
NM,111269,35.6619,-105.9819
CA,111126,33.9379,-118.1312
FL,111076,28.4797,-82.5300
MA,110997,42.6389,-71.3217
CO,110937,39.5926,-104.8674
IL,110849,42.0385,-88.3229
CA,110567,37.9477,-122.3390
OK,110198,36.0365,-95.7809
FL,110001,25.9433,-80.2426
OR,109802,44.0562,-121.3087
VT,109763,44.4877,-73.2314
CA,109527,34.0010,-117.4705
GA,109452,33.9366,-84.3703
OR,109381,45.5023,-122.4413
TX,109212,33.0452,-96.9823
OR,109128,45.5272,-122.9361
CA,109106,34.2741,-119.2314
NC,108856,34.7288,-77.3941
PA,108758,40.2507,-75.6444
CA,108151,33.9566,-118.3444
TX,107536,29.4873,-95.1087
WI,107404,44.8199,-91.4949
CA,107317,37.5053,-120.8588
TX,107258,31.1076,-97.3894
IA,106455,42.4959,-96.3901
MD,106447,38.3756,-75.5867
FL,106306,26.0789,-80.2870
CA,106280,37.6862,-122.4685
CO,105631,39.5419,-104.9708
TX,105623,33.1088,-96.6735
CA,105101,34.0555,-117.9112
NV,105006,39.5729,-119.7157
TX,104683,33.9072,-98.5291
CA,104430,37.5521,-122.3122
MD,103991,39.2004,-76.8590
CA,103949,33.9069,-118.0829
CA,103526,34.1174,-117.3894
CA,103420,37.7927,-121.2264
CA,102864,38.6034,-121.3810
CA,102708,32.8017,-116.9605
CA,102511,34.1879,-118.3235
CO,102474,40.1686,-105.1005
WA,101751,47.4784,-122.1919
CA,101638,33.1896,-117.2386
UT,101616,41.7400,-111.8419
AZ,101539,34.5983,-112.3176
CA,101444,38.3590,-121.9680
TX,101170,26.3197,-98.1596
IN,101068,39.9650,-86.1460
WA,101060,47.6626,-117.2346
TX,101004,31.4424,-100.4506
WI,100693,43.8240,-91.2268
ID,100442,43.4872,-112.0362
MI,100432,42.7677,-86.0985
VA,100416,38.0375,-78.4855
TX,100330,32.5193,-94.7621
CA,100049,37.7269,-121.4522
FL,99805,26.3752,-80.1080
CO,99645,39.9949,-105.0997
MO,99357,38.9172,-94.3816
NM,99178,35.2872,-106.6981
GA,99155,33.6269,-84.5802
OR,99037,45.4779,-122.8168
KS,98648,38.9597,-95.2641
ND,98345,46.8144,-100.7694
UT,97828,40.2983,-111.6992
OH,97730,39.5032,-84.3660
AZ,96692,33.1879,-111.5472
CA,96664,33.1350,-117.1744
UT,96380,40.5710,-111.8505
WA,96289,47.3091,-122.3358
LA,95968,30.3751,-90.0904
CA,95750,34.3975,-117.3147
MA,95708,42.0821,-71.0242
CA,95605,33.8930,-118.2275
FL,95338,27.8227,-82.3023
IN,95310,39.9589,-85.9661
FL,95166,26.1547,-80.2997
KY,95135,36.9719,-86.4373
GA,94763,34.0391,-84.3513
CA,94756,33.6909,-117.1849
FL,94580,26.1260,-80.2617
NH,94563,43.1887,-70.8845
MA,94470,42.2516,-71.0183
VA,94398,36.8468,-76.3540
CA,94371,33.9836,-117.6654
MA,94299,42.4779,-70.9663
OK,94054,35.6689,-97.4159
CA,94028,36.3274,-119.6549
MI,93932,42.3127,-83.2129
MI,93665,42.3972,-83.3733
CA,93444,33.9448,-118.1926
NJ,93239,39.4653,-74.9981
SC,93131,34.1781,-79.7877
NH,93069,43.0580,-70.7826
LA,93040,30.2881,-89.7826
OK,93025,34.6176,-98.4203
WA,93010,47.6974,-122.2054
MT,92895,46.8750,-114.0214
AL,92777,32.6087,-85.4899
SD,92664,44.0716,-103.2204
IN,92490,39.4654,-87.3763
VA,92108,36.6953,-76.6398
VA,91888,37.2300,-80.4279
SC,91684,32.8538,-79.8204
CA,91394,33.8374,-118.2559
TX,91079,30.3239,-95.4825
FL,91068,28.5278,-81.1865
CA,90923,37.6862,-121.7608
CA,90643,33.7523,-117.9938
MD,90582,39.1755,-77.2643
CA,90401,34.0232,-118.4813
TX,90209,29.6994,-98.1148
MA,89541,41.7137,-71.1014
GA,89217,31.5776,-84.1762
FL,88885,25.8171,-80.1396
CT,88816,41.1144,-73.4215
CA,88815,37.7071,-122.1601
MO,88673,38.7850,-90.7175
MA,88414,42.3316,-71.2085
IN,87879,40.1989,-85.3950
CA,87796,38.6948,-121.2880
PA,87723,40.7909,-77.8568
FL,87338,28.0108,-82.5760
